M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
ba140   2.0000D-04   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02   
la139   2.0000D-04   1.5419D-09     1.5006D-08 	  4.7632D-02	2.0617D-08    5.2500D-02   
la140   2.0000D-04   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02   
la141   2.0000D-04   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02   
ce140   2.0000D-04   3.4994D-09     5.6677D-08 	  4.7632D-02	6.1103D-08    5.2500D-02   
ce141   2.0000D-04   0.0000D+00     0.0000D+00 	  4.7632D-02	0.0000D+00    5.2500D-02   
ce142   2.0000D-04   4.4500D-10     5.1887D-09    4.7632D-02	1.2497D-08    5.2500D-02   
ce143   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
pr141   2.0000D-04   5.8565D-10     5.8742D-09    4.7632D-02	6.2754D-09    5.2500D-02   
pr142   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
pr143   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
nd142   2.0000D-04   7.9465D-10     1.4467D-08    4.7632D-02	1.2718D-08    5.2500D-02   
nd143   2.0000D-04   3.5566D-10     2.5915D-09    4.7632D-02	3.2001D-09    5.2500D-02   
nd144   2.0000D-04   7.0556D-10     8.4756D-09    4.7632D-02	1.0942D-08    5.2500D-02   
nd145   2.0000D-04   2.4776D-10     1.6261D-09    4.7632D-02	2.1181D-09    5.2500D-02   
nd146   2.0000D-04   5.1564D-10     8.0316D-09    4.7632D-02	1.0889D-08    5.2500D-02   
nd147   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
nd148   2.0000D-04   1.7558D-10     7.0934D-10    4.7632D-02	1.0684D-09    5.2500D-02   
nd149   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
nd150   2.0000D-04   1.7423D-10     6.2010D-14    4.7632D-02	1.9920D-14    5.2500D-02   
pm147   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
